Station_Name,GroupName,Owner_Name,Operators_Name,Connection_Type,Generation_Type,Operating_Capacity,Fuel_Name,Primary_Efficiency,Secondary_Fuel,Secondary_Efficiency,Date_Commissioned,Year,Installed_Capacity,Max_Unit_Size,Typical_Annual_GWh,Generating_Units,Thermal_Operating_Stockpile,Hydro_Max_m3_Storage,Hydro_Max_GWh_Storage,Node_Name,Region_Name,Island_Name,Comments,Decommission_Date,Data_Source,GroupOrder,CDSName
Tekapo A,Waitaki Hydro Scheme,Genesis Energy,Genesis Energy,Grid Connected,Hydro,25,Hydro,0.232,Not Applicable,0,1951,1951,25,25 MW,160,,,0,,TKA0111,SCN - South Canterbury,SI - South Island,The Tekapo A station flows are supplied by a 1.6 km tunnel from the Lake Tekapo intake. The flow of water is controlled by a dam at Tekapo that can store flood waters or spill excess capacity into the Tekapo River. Water that passes through Tekapo A continues down a canal to the Tekapo B station situated on Lake Pukaki. Water spilled into the Tekapo River can be diverted into the Tekapo canal and onto Tekapo B or allowed to flow down the river to Lake Benmore.,," www.meridianenergy.co.nz,Electricity Commission,EMS (Reconciliation Manager List), www.genesisenergy.co.nz",1,GEN.Hydro.Waitaki.Tekapo
Tekapo B,Waitaki Hydro Scheme,Genesis Energy,Genesis Energy,Grid Connected,Hydro,160,Hydro,1.282,Not Applicable,0,1977,1977,160,80 MW,800,,,0,,TKB2201,SCN - South Canterbury,SI - South Island,"Located at end of a 26.5 kilometre-long canal which takes water from Tekapo A; average canal depth, 5.3 metres. There is a 147 metre height difference between the canal and Lake Pukaki. Constructed in 1977 on dry land but was surrounded by water when Lake Pukaki was raised to a new range of operating levels following the completion of the Pukaki high dam. Substructure is 32 metres high on top of which is the (visible) station superstructure.",," www.meridianenergy.co.nz,Electricity Commission,EMS (Reconciliation Manager List)",2,GEN.Hydro.Waitaki.Pukaki
Templeton,,Department of Corrections,Meridian Energy,Embedded,Thermal,0.1,Unknown,0,Not Applicable,0,,,0.1,0.1 MW,0,,,0,,ISL0331,CAN - Canterbury,SI - South Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Christchurch.Islington.Templeton
Teviot,Teviot Hydro Scheme,Pioneer Generation,Trustpower,Partially Embedded,Hydro,10.5,Hydro,0,Not Applicable,0,1983,1983,10.5,6.8 MW,55,"1 x 6.8 MW, 1 x 1.125 MW, 1 x 1 MW, 1 x 1.6 MW",,0,,CYD0331,OTG - Otago/Southland,SI - South Island,"Teviot 55 GWh from Pioneer Generation fact sheet published on Central Lakes Trust website based on Teviot total scheme 78 Gwh, with 55 GWh under Teviot and the remaining 23 GWh under Horseshoe Bend based on MW capacity. Capacity:  Ellis 6.8MW, Teviot Bridge 1.125MW, George Station 1 MW, Michelle Station 1.6MW",,"EL Database,Electricity Commission,EMS (Reconciliation Manager List),www.centrallakestrust.org.nz",2,GEN.Hydro.Teviot
Tirohia Landfill,,H.G. Leach & Co.,Mighty River Power,Embedded,Other,1,Biogas,0,Not Applicable,0,2008,2008,1,1 MW,7.5,1 x 1,,0,,WKO0331,WTO - Waikato,NI - North Island,The landfill gas engine is a Waukesha APG1000 48 liitre V16 operating at 1500RPM.,, www.hgleach.co.nz,,No current series
Tokaanu,Tongariro Power Development,Genesis Energy,Genesis Energy,Grid Connected,Hydro,240,Hydro,1.754,Not Applicable,0,1973,1973,240,60 MW,763,,,0,,TKU0331,CEN - Central,NI - North Island,"The Tongariro Power Scheme gathers water from the mountains of the central volcanic plateau in the North Island. The water passes through two power stations Rangipo (120MW) and Tokaanu (240MW) before being released into Lake Taupo. The scheme taps a catchment area of more than 2600 sq km and uses a series of lakes, canals and tunnels to bring water to the two stations which typically generate 1400 GWh p.a.—about 4% of the country's total electricity generation. The western diversion takes water from six rivers and streams from the Whakapapa River to the Whanganui River, into Lake Rotoaira via Lake Otamangakau. The Tokaanu power station is connected to Lake Rotoaira via a six kilometre tunnel through Mount Tihia. It also draws water from the Tongariro River via the Poutu tunnel and canal. On the eastern side of Mount Ruapehu, water is diverted from the Kaimanawa Ranges and headwaters of the Wahianoa River through a 20 km tunnel into the Rangipo dam. The 120MW Rangipo power station is 230 metres below ground. Its turbines are located in a cavern cut from solid rock and lined with concrete.",,"Electricity Commission,EMS (Reconciliation Manager List), www.genesisenergy.co.nz",,GEN.Hydro.Tokaanu
Totara Road,,Palmerston North City Council,Mighty River Power,Embedded,Thermal,0.8,Unknown,0,Not Applicable,0,,,0.8,0.8 MW,2.3,,,0,,LTN0331,CEN - Central,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.PalmerstonNorth.Awapuni
Tuai,Waikaremoana,Genesis Energy,Genesis Energy,Grid Connected,Hydro,60,Hydro,1.587,Not Applicable,0,1929,1929,60,20 MW,218,3 x 20 MW,,0,,TUI1101,HBY - Hawkes Bay,NI - North Island,"The Tuai station draws water from the Lake Kaitawa and discharges into the man made Lake Whakamarino. The Waikaremoana Hydro Scheme is located between the remote Te Urewera National Park and Wairoa. The scheme includes the Kaitawa (36MW), Tuai (60MW) and Piripaua (42MW) hydro stations, and is centrally controlled from Tuai. Water from Lake Waikaremoana flows through the Kaitawa power station and into Lake Kaitawa before reaching the Tuai power station. From there it flows into the man-made Lake Whakamarino and through the Piripaua power station, before being released into the Waikaretaheke River and making its way to the sea.",,"Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Waikaremoana
Turitea Hydro,,Palmerston North City Council,Mighty River Power,Embedded,Hydro,0.1,Hydro,0,Not Applicable,0,,,0.1,0.1 MW,0.5,,,0,,LTN0331,CEN - Central,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Hydro.PalmerstonNorth.Turitea.Linton
Wahapo (Okarito Forks),,Trustpower,Trustpower,Partially Embedded,Hydro,3.1,Hydro,0,Not Applicable,0,1960,1960,3.1,3.1 MW,14.5,,,0,,HKK0661,WEC - West Coast,SI - South Island,"The Wahapo Power Station, formerly known as the Okarito Forks Power Station, had its beginnings at a public meeting in June 1957, and was commissioned, using a generator set of 250 kw that had been employed at the Homer Tunnel project, in 1960. In late 1991 a new station was comissioned using the natural storage of Lake Wahapo, the station has a rated output of 3,100kw and an average annual output of 14.5Gwh",,"Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Hokitika.Wahapo
