Station_Name,GroupName,Owner_Name,Operators_Name,Connection_Type,Generation_Type,Operating_Capacity,Fuel_Name,Primary_Efficiency,Secondary_Fuel,Secondary_Efficiency,Date_Commissioned,Year,Installed_Capacity,Max_Unit_Size,Typical_Annual_GWh,Generating_Units,Thermal_Operating_Stockpile,Hydro_Max_m3_Storage,Hydro_Max_GWh_Storage,Node_Name,Region_Name,Island_Name,Comments,Decommission_Date,Data_Source,GroupOrder,CDSName
Addington,,Orion,Meridian Energy,Embedded,Unknown,0.4,Unknown,0,Not Applicable,0,,,0.4,0.4 MW,0,,,0,,ADD0111,CAN - Canterbury,SI - South Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Christchurch.Addington.Rail
Aluminium Diecasting Ltd,,Aluminium Diecasting,Meridian Energy,Embedded,Unknown,0.2,Unknown,0,Not Applicable,0,,,0.2,0.2 MW,0,,,0,,BRY0111,CAN - Canterbury,SI - South Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Christchurch.Bromley.Diecast
Amethyst,,Westpower,Westpower,Embedded,Hydro,6,Hydro,0,Not Applicable,0,Jun 2013,2013,6,6 MW,30,,,0,,ARA2201,WEC - West Coast,SI - South Island,GWh estimated,, www.energynews.co.nz,,No current series
Anchor Products,,Trustpower,Trustpower,Embedded,Thermal,3.9,Unknown,0,Not Applicable,0,,,3.9,3.9 MW,3.3,,,0,,TMU0111,WTO - Waikato,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.TeAwamutu
Aniwhenua,,Bay of Plenty Energy,Todd Energy,Partially Embedded,Hydro,25,Hydro,0.173,Not Applicable,0,1979,1979,25,12.5 MW,105,2 x 12.5 MW,,0,,MAT1101,BOP - Bay Of Plenty,NI - North Island,"Constructed over three years at a cost of $27 million in the late 1970's, the Aniwhenua scheme involved the damming of the Rangitaiki River, forming a 255 hectare storage lake. Aniwhenua is named after the falls which are adjacent to the power house. The Aniwhenua scheme consists of a 200 meter long, 10 meter high dam structure with two radial control gates which can discharge 1,270 cubic meters of water per second. Three additional flap gates are designed to handle higher flood conditions. A 2.2 kilometer canal with a fall rate of 1 in 2,500 diverts water from the lake to a head pond above the powerhouse. Water flows from the head of the pond through steeply dropping penstocks at a rate of 75 cubic meters a second to the powerhouse. There, it drives two 12.5 MW generators before being discharged back to the river just below the Aniwhenua Falls.",,"EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Aniwhenua
Arapuni,Waikato Hydro Scheme,Mighty River Power,Mighty River Power,Grid Connected,Hydro,196.7,Hydro,0.463,Not Applicable,0,Oct 1946,1946,196.7,26.7 MW,805,,,10,,ARI1101,WTO - Waikato,NI - North Island,"With eight generating units, Arapuni has the largest single capacity of any of the stations in the Waikato hydro system. Due to its close proximity to Hamilton's urban centre, Arapuni provides a voltage support role for power transmissions to the area. Recent upgrades to the station have enhanced its capability in this area. This station is occasionally used for frequency keeping. The Arapuni power station was the first government-built hydroelectric station on the Waikato River. During the initial surveying in 1916, an old watercourse was found just upstream of one of the narrowest parts of the gorge. In 1920, the surveying was halted due to lack of government funds to progress the project. Construction finally began in 1924, but repeated heavy rain and the resulting floods dogged the early works. Just after the project was commissioned in mid-1929, the station was closed for two years while a water seepage problem was investigated and the headrace lined. The station began operating again in May 1932 with four generators installed. Four more machines have since been added. In 2001, work was completed on four of Arapuni's turbines to increase capacity from 24.7MW to 26.7MW each and to improve their peak efficiency to 94 percent.",,"EL Database,Electricity Commission,EMS (Reconciliation Manager List), www.mightyriverpower.co.nz",7,GEN.Hydro.Waikato.Arapuni
Aratiatia,Waikato Hydro Scheme,Mighty River Power,Mighty River Power,Grid Connected,Hydro,78,Hydro,0.268,Not Applicable,0,May 1964,1964,90,30 MW,330,,,0,,ARA2201,WTO - Waikato,NI - North Island,"As the smallest of the hydro reservoirs, Aratiatia's lake level fluctuates through its storage range regularly throughout the day. Aratiatia is largely a 'run of river' station, passing water released from the Taupo Gates down to Lake Ohakuri.",,"EL Database,Electricity Commission,EMS (Reconciliation Manager List)",1,GEN.Hydro.Waikato.Aratiatia
Argyle,Branch Hydro Scheme,Trustpower,Trustpower,Grid Connected,Hydro,3.8,Hydro,0,Not Applicable,0,May 1983,1983,3.8,3.8 MW,17,,,0,,ARG1101,NEL - Nelson/Marlbourough,SI - South Island,"Investigations into the feasibility of Branch River Power scheme began in 1978, and following a detailed investigation in 1980 finance was approved with construction beginning soon afterwards. Canal filling commenced in March 1983, with generation commencing at the Wairau Power House in June, and at Argyle two months later.A run of the river scheme with daily storage, the water first passes through the Argyle station of 3800kw capacity with a head of 21.9 meters. A 3385 meter canal then carries the water to the Wairau Power Station of 7200kw at a head of 41.3 metres. CDS output data is believed to be net of some local load.",," www.trustpower.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List)",1,SI.Argyle.Import
Arnold,,Trustpower,Trustpower,Embedded,Hydro,3.1,Hydro,0,Not Applicable,0,1932,1932,3.1,3.1 MW,20,,,0,,DOB0331,WEC - West Coast,SI - South Island,Estimated GWH based on high capacity usage,," www.trustpower.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Arnold
Ascot Ave,,Manson Developments,Mighty River Power,Embedded,Unknown,0.1,Unknown,0,Not Applicable,0,,,0.1,0.1 MW,0,,,0,,PEN0331,AKL - Auckland,NI - North Island,,,"EMS (Reconciliation Manager List),CDS",,GEN.Unknown.Auckland.Mansons.Penrose
Atiamuri,Waikato Hydro Scheme,Mighty River Power,Mighty River Power,Grid Connected,Hydro,84,Hydro,0.204,Not Applicable,0,Apr 1962,1962,84,21 MW,289,,,0,,ATI2201,BOP - Bay Of Plenty,NI - North Island,"Construction was completed six months ahead of schedule and the station was commissioned early in November 1958. The additional generation from the Atiamuri station, together with the newly built Meremere coal-fired station, allowed post-war electricity restrictions in the North Island to be lifted by Christmas 1958. Although originally designed for three generators, a fourth was later added and commissioned in 1962. (Note : The reconcilation process models Atiamuri as a grid connected network rather than generation)",,"EL Database,Electricity Commission,EMS (Reconciliation Manager List)",3,GEN.Hydro.Waikato.Atiamuri
Auckland District Hospital,,Auckland District Hospital Board,Meridian Energy,Embedded,Cogeneration,3.6,Gas,0,Diesel,0,Apr 2005,2005,3.6,1.8 MW,7,2 x 1.8MW,,0,,PEN0331,AKL - Auckland,NI - North Island,"Built by Energy for Industry, Baseload heat: 4.2MW, electricity: 3.6MW net, standby power: 2.8MW",," www.meridianenergy.co.nz,EL Database,EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Auckland.Hospital
Aviemore,Waitaki Hydro Scheme,Meridian Energy,Meridian Energy,Grid Connected,Hydro,220,Hydro,0.31,Not Applicable,0,1968,1968,220,55 MW,930,,,17,,AVI2201,SCN - South Canterbury,SI - South Island,Due to limited storage capacity Aviemore predominantly acts as run of river station with as water flows from Lake Benmore and through to Lake Waitaki.,," www.meridianenergy.co.nz,Electricity Commission,EMS (Reconciliation Manager List)",7,GEN.Hydro.Waitaki.Aviemore
Ballance Agri,,Trustpower,Trustpower,Embedded,Cogeneration,6.5,Unknown,0,Not Applicable,0,,,6.5,6.5 MW,11,,,0,,MTM0111,BOP - Bay Of Plenty,NI - North Island,,,"Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Thermal.MountMaunganui
Bay Milk Edgecumbe,,Bay of Plenty Energy,Todd Energy,Embedded,Cogeneration,10,Gas,12500,Not Applicable,0,1996,1996,10,5 MW,54,2 x  5 MW,,0,,EDG0331,BOP - Bay Of Plenty,NI - North Island,,,"PB 'Thermal & Geothermal Generation Capabilities',EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Thermal.Edgecumbe
Belfast,,Christchurch City Council,Meridian Energy,Embedded,Unknown,0,Unknown,0,Not Applicable,0,,,0,0 MW,0,,,0,,PAP0111,CAN - Canterbury,SI - South Island,,,EMS (Reconciliation Manager List),,GEN.Unknown.Christchurch.Papanui.Belfast 
Benmore,Waitaki Hydro Scheme,Meridian Energy,Meridian Energy,Grid Connected,Hydro,540,Hydro,0.818,Not Applicable,0,1965,1965,540,94 MW,2500,,,74,,BEN2202,SCN - South Canterbury,SI - South Island,"Lake Benmore draws water from the Ohau, Pukaki and Tekapo Rivers and the Ohau canal as the culmination point for the outflows from the Upper Waitaki stations. With a capacity of 540 MW the Benmore station is the largest of the Waitaki system. Benmore is also the location of the southern stating point of the HVDC line that links the electricity systems of the North and South Islands. Previously injected onto the grid through 2 metered buses BEN0162 and BEN0163. Since reconfigured and injects through BEN2202.",," www.meridianenergy.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List)",6,GEN.Hydro.Waitaki.Benmore
Blue Mountain Lumber,,Blue Mountain Lumber,Meridian Energy,Embedded,Cogeneration,1.4,Wood_waste,0,Not Applicable,0,2000,2000,1.4,1.4 MW,1.9,,,0,,GOR0331,OTG - Otago/Southland,SI - South Island,There is a 10 MWth steam boiler fuelled by the sawmill wood residues and a 1.4 MWe steam turbine generator to utilise any surplus steam for electricity generation. The 1.9 Gwh annual output reflects the turbine being used as a means to dump heat and so is operated for about 20% of the time.,,"EMS (Reconciliation Manager List),www.bioenergy.org.nz",,GEN.Thermal.Gore
Bombay,,Greymouth Power Company,Contact Energy,Embedded,Unknown,2.3,Unknown,0,Not Applicable,0,,,2.3,2.3 MW,0,,,0,,BOB1101,AKL - Auckland,NI - North Island,GWh and MW estimated from Centralised Dataset,,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Auckland.Bombay
Brooklyn Power Station,,Lloyd Wensley,Lloyd Wensley,Embedded,Hydro,0.2,Hydro,0,Not Applicable,0,1934,1934,0.2,0.2 MW,1,,,0,,MOT0111,NEL - Nelson/Marlbourough,SI - South Island,,,"EL Database,Electricity Commission,EMS (Reconciliation Manager List),www.networktasman.co.nz, CDS",,GEN.Hydro.Motueka.Brooklyn
Burwood Hospital,,Christchurch District Health,Meridian Energy,Embedded,Unknown,0.2,Unknown,0,Not Applicable,0,,,0.2,0.2 MW,0,,,0,,BRY0661,CAN - Canterbury,SI - South Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Christchurch.Bromley.Hospital
Chathams Wind,,CBD Energy,CBDEnergy,Embedded,Wind,0.45,Wind,0,Not Applicable,0,2010,2010,0.45,0.225 MW,1.4,2 x 0.225 MW,,0,,OFFGRID,OTH - Other,OT - Other,"The wind farm has two 225kW Vergnet machines, which have been integrated with the existing diesel generation plant on the island. The turbines are two-bladed machines designed in France. They are designed so they can be raised and lowered on guy ropes, mainly to prevent damage during storms, but also for maintenance.", , windenergy.org.nz,,No current series
Christchurch Airport (Harewood),,Christchurch Airport Authority,Meridian Energy,Embedded,Backup generation,0.1,Unknown,0,Not Applicable,0,,,0.1,0.1 MW,0,,,0,,ISL0661,CAN - Canterbury,SI - South Island,"818 Wairakai Road, Harewood. '3 units (separate points of supply) HAR0011 HAR0012 HAR0013. Max generation 0.04MW for HAR0011, 0.09MW for HAR0012 and 0.11 MW for HAR0013",,"EMS (Reconciliation Manager List), CDS",,"GEN.Thermal.Christchurch.Islington.Airport.1,GEN.Thermal.Christchurch.Islington.Airport.2,GEN.Thermal.Christchurch.Islington.Airport.3"
Christchurch City Wastewater,,Orion,Meridian Energy,Embedded,Other,3.2,Biogas,0,Not Applicable,0,Jan 1996,1996,3.2,3.2 MW,2,,,0,,BRY0111,CAN - Canterbury,SI - South Island,,,"EL Database,Electricity Commission,EMS (Reconciliation Manager List),CDS",,GEN.Thermal.Christchurch.Bromley.Sewage
Christchurch Hospital Campus,,Christchurch District Health,Meridian Energy,Embedded,Backup generation,0.3,Unknown,0,Not Applicable,0,,,0.3,0.3 MW,0,,,0,,ADD0661,CAN - Canterbury,SI - South Island,"Backup plant, max generation in CDS 0.26 MW",,"EMS (Reconciliation Manager List),CDS",,GEN.Unknown.Christchurch.Addington.Hospital
Christchurch Wind Turbine,,Orion,Meridian Energy,Embedded,Wind,0.5,Wind,0,Not Applicable,0,2003,2003,0.5,0.5 MW,0.8,,,0,,SPN0331,CAN - Canterbury,SI - South Island,Located at Gebbies Pass. GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Wind.Christchurch.Springston
Cleardale,,MainPower,MainPower,Embedded,Hydro,0.9,Hydro,0,Not Applicable,0,2010,2010,0.9,0.9 MW,4,,,0,,ASB0661,CAN - Canterbury,SI - South Island,,,EnergyNews,,No current series
Cloudy Bay,,Indevin,Trustpower,Embedded,Unknown,0,Unknown,0,Not Applicable,0,,,0,0 MW,0,,,0,,BLN0331,NEL - Nelson/Marlbourough,SI - South Island,,,"EMS (Reconciliation Manager List),CDS",,GEN.Unknown.Blenheim.CloudyBay
Clyde,Clutha Hydro Scheme,Contact Energy,Contact Energy,Grid Connected,Hydro,432,Hydro,0.513,Not Applicable,0,1992,1992,432,108 MW,2050,4 x 108 MW,,24,,CYD2201,OTG - Otago/Southland,SI - South Island,"Clyde is the largest concrete gravity dam in New Zealand. There are a million cubic metres of concrete in the dam with another 200,000 cubic metres in the powerhouse. Before Lake Dunstan could be filled and the power station commissioned, a great deal of landslide stabilisation work was carried out behind the dam. Over 14 kilometres of tunnels were excavated into the hillsides to prevent water build-up that could destabilise the hillsides. Huge buttresses of compacted rock and gravel have been built to strengthen the hillsides and a total of 3,500 measuring and monitoring instruments have been installed around the lakeshore.",,"EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Clutha.Clyde
Cobb,,Trustpower,Trustpower,Grid Connected,Hydro,32,Hydro,4.405,Not Applicable,0,1956,1956,34.3,10.45 MW,190,"4 x 3.35 MW, 2 x 10.45 MW",,24,,COB0661,NEL - Nelson/Marlbourough,SI - South Island,"Cobb is located in the Tasman Mountains northwest of Nelson, at the confluence of the Cobb and Takaka Rivers. The Cobb station was built by the Government during the 1940s and 1950s and connected to the national grid in 1956. The station was put up for sale in 1999 following the carve-up of state-owned ECNZ into three companies - Meridian Energy, Mighty River Power and Genesis. NGC acquired the Cobb Valley station in 2000, when it bought TransAlta New Zealand. TransAlta had owned the station for just over a year, after buying it from Meridian Energy.  In March 2003 TrustPower completed the purchase of the Cobb hydro power station for $92.5m from NGC.",," www.trustpower.co.nz,PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Cobb
Coleridge,,Trustpower,Trustpower,Grid Connected,Hydro,45,Hydro,1.009,Not Applicable,0,1914,1914,45,9.5 MW,300,,,138,,COL0661,CAN - Canterbury,SI - South Island,"The Coleridge power station, about 100km inland from Christchurch, was New Zealand's first major hydropower scheme. The Government completed a study of the suitability of the area for hydro electricity generation in 1906 and commenced work in 1911. In 1914 the power station was commissioned with three turbines and was then progressively expanded over the next decade. Much of the station still dates from this period. In 1930 the Acheron River was diverted into Lake Coleridge, increasing the catchment area to more than 800 square kilometres and in 1977 a diversion of the Wilberforce River further increased the amount of water, boosting average annual output to 205 GWh. The Coleridge power station is fed from Lake Coleridge via 2 kilometres of tunnels and pipes, and after passing through the powerhouse the water empties into the Rakaia River approximately 140 meters below the level of the Lake. Lake Coleridge can store 2 to 3 months inflows. TrustPower purchased Coleridge from ECNZ in October 1998 for $91 million and over the next two years upgraded the station at a cost of about $6 million. The investment increased capacity from 36 MW to 45 MW and target annual output from 205 GWh to 300 GWh. Resource consents to re-permit the existing scheme were granted in 1996 for a 35-year term to 2031.",," www.trustpower.co.nz, EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Coleridge
Crowne Plaza,,Crowne Plaza,Meridian Energy,Embedded,Unknown,0,Unknown,0,Not Applicable,0,,,0.1,0.1 MW,0,,,0,,ADD0661,CAN - Canterbury,SI - South Island,GWh and MW data from Centralised Dataset 2006 calendar year. Assumed decommissioned with the demolition of the earthquake damaged Crown Plaza building.,2011,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Christchurch.Addington.CrownePlaza
Darfield,,WD Boyes & Sons,Meridian Energy,Embedded,Thermal,0.1,Diesel,0,Not Applicable,0,,,0.1,0.1 MW,0,,,0,,HOR0331,CAN - Canterbury,SI - South Island,"Canterbury Clay Bricks, Negligible GWh",,EMS (Reconciliation Manager List),,GEN.Thermal.Darfield
Deep Stream,,Trustpower,Trustpower,Embedded,Hydro,5,Hydro,0,Not Applicable,0,Dec 2008,2008,5,2.5 MW,25,,,0,,HWB0331,OTG - Otago/Southland,SI - South Island,,, www.trustpower.co.nz,,No current series
Dillmans,Dillmans Hydro Power Scheme,Trustpower,Trustpower,Embedded,Hydro,3.5,Hydro,0,Not Applicable,0,1928,1928,3.5,3.5 MW,16,,,0,,KUM0661,WEC - West Coast,SI - South Island,"This scheme had its beginnings in 1927, with power being generated for the first time in 1928. The scheme today consists of the Duffers Power Station, fed by races that in turn feed into the Kawhaka Creek, downstream artificial lake storage that in turn feeds the Dillmans Power Station, and the Kumara Power station fed by a race from Dillmans. With heads of 13 metres at Duffers, 46 metres at Dillmans and 78 metres at Kumara, and capacities of 500 kW, 3,500 kW and 6,500 kW respectively, the scheme has an average annual output of 47.9 GWh.",,"EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Kumara.Dillmans
Drysdale,,Drysale Hydro Company,Mighty River Power,Embedded,Hydro,0.1,Hydro,0,Not Applicable,0,,,0.1,0.1 MW,0.3,,,0,,MTN0331,CEN - Central,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Hydro.Drysdale
Duffers,Dillmans Hydro Power Scheme,Trustpower,Trustpower,Embedded,Hydro,0.5,Hydro,0,Not Applicable,0,1928,1928,0.5,0.5 MW,2,,,0,,KUM0662,WEC - West Coast,SI - South Island,"This scheme had its beginnings in 1927, with power being generated for the first time in 1928. The scheme today consists of the Duffers Power Station, fed by races that in turn feed into the Kawhaka Creek, downstream artificial lake storage that in turn feeds the Dillmans Power Station, and the Kumara Power station fed by a race from Dillmans. With heads of 13 metres at Duffers, 46 metres at Dillmans and 78 metres at Kumara, and capacities of 500 kW, 3,500 kW and 6,500 kW respectively, the scheme has an average annual output of 47.9 GWh.",,"EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Kumara.Duffers
Enfield,,Network Waitaki,Meridian Energy,Embedded,Unknown,0,Unknown,0,Not Applicable,0,,,0,0 MW,0,,,0,,OAM0331,OTG - Otago/Southland,SI - South Island,,,EMS (Reconciliation Manager List),,GEN.Unknown.Enfield 
Esk,,Trustpower,Trustpower,Embedded,Hydro,4,Hydro,0,Not Applicable,0,2013,2013,4.2,2.8 MW,15,,,0,,RDF0331,HBY - Hawkes Bay,NI - North Island,The Esk scheme consists of two power stations situated on the Esk river in Hawkes Bay. Rimu Power Station has a head of 140 m and uses a maximum flow of one cubic metre a second (m3/s) of water to produce up to 1.4 MW of power. Toronui Power Station has a head of 320 m and uses no more than 1.2 m3/s to produce up to 2.8 MW. While Toronui has a head pond that can store about 4000 cubic metres the scheme is essentially run-of-river.,, www.trustpower.co.nz,,No current series
Falls Dam,,Pioneer Generation,Trustpower,Embedded,Hydro,1.3,Hydro,0,Not Applicable,0,,,1.3,1.3 MW,9,,,0,,NSY0331,OTG - Otago/Southland,SI - South Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Hydro.FallsDam
Flat Hill,,Pioneer Generation,Trustpower,Embedded,Wind,6.8,Wind,0,Not Applicable,0,Aug 2015,2015,6.8,0.85 MW,24,8 x 0.85 MW,,0,,INV0331,OTG - Otago/Southland,SI - South Island,Annual output estimated based on 40% utilisation,, www.windenergy.org.nz/flat-hill,,No current series
Fletcher Forests,,Trustpower,Trustpower,Embedded,Thermal,3.5,Wood_waste,0,Not Applicable,0,,,3.5,3.5 MW,26,,,0,,ROT0111,BOP - Bay Of Plenty,NI - North Island,"GWh data from Centralised Dataset 2006 calendar year, capacity 3.5MW, average closer to 3MW",,"EMS (Reconciliation Manager List), CDS, Fletcher Forests",,GEN.Thermal.Rotorua.Waipa
FoodStuffs Hickory Place,,Foodstuffs (South Island),Meridian Energy,Embedded,Unknown,0,Unknown,0,Not Applicable,0,,,0,0 MW,0,,,0,,ISL0331,CAN - Canterbury,SI - South Island,GWh and MW estimated from Centralised Dataset,,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Christchurch.Islington.Foodstuffs
Forest Research,,Todd Energy,Todd Energy,Embedded,Thermal,0.3,Gas,0,Not Applicable,0,,,0.3,0.3 MW,0,,,0,,ROT0111,BOP - Bay Of Plenty,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Rotorua.ForestResearch
Fox,,Trustpower,Trustpower,Embedded,Hydro,0.2,Hydro,0,Not Applicable,0,,,0.2,0.2 MW,1.9,,,0,,HKK0661,WEC - West Coast,SI - South Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Hydro.Fox.11KV
Fraser,,Pioneer Generation,Trustpower,Embedded,Hydro,2.8,Hydro,0,Not Applicable,0,1956,1956,2.8,2.8 MW,19,,,0,,CYD0331,OTG - Otago/Southland,SI - South Island,,,"Electricity Commission,EMS (Reconciliation Manager List),www.codc.govt.nz",,GEN.Hydro.Fraser
Gisborne,,Eastland Networks,Contact Energy,Embedded,Unknown,4,Unknown,0,Not Applicable,0,,,4.5,4.5 MW,1.2,,,0,,GIS0501,HBY - Hawkes Bay,NI - North Island,"GWh from Centralised Dataset 2006 calendar year. CDS peak was 21.1MW but only occurred once in 2006, ramping up and down over a 3 hour period and again to a peak of 12.5MW 2 days later (origin unknown). Normal generation appears to peak at around 4.5MW  ",,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Gisborne
Glenbrook,,Alinta Energy,Alinta Energy,Grid Connected Cogen,Cogeneration,112,Gas,0,Not Applicable,0,1997,1997,112,74 MW,550,,,0,,GLN0332,AKL - Auckland,NI - North Island,"Glenbrook Cogeneration Plant produces electricity using the by-product gasses from BHP Steel's New Zealand Steel's direct reduction iron-making process. The facility generates about 550,000 megawatt hours a year of electricity. Heating raw materials as part of the iron production process creates gases. The gases are used to fuel boilers which provide steam for turbines to generate electricity at two stages in the iron-making process: from four multiple hearth furnaces, which heat iron sand and coal; and at four direct reduction rotary kilns, which reduce the heated sand and coal char to a metalised product. Together with the multiple hearth furnace cogeneration plant, Glenbrook Cogeneration Plant produces around half of the steel mill's annual power requirements. Glenbrook generates at 11kv and 33kv (GLN0111 and GLN0332). Continuous output rating for the 38MW unit is around 25MW",,"EL Database,PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List), ACS Data",,"GEN.Thermal.Glenbrook.SteelMill.Furnace,GEN.Thermal.Glenbrook.SteelMill.Kiln, GEN.Thermal.Glenbrook.Diesel"
Government Communications Satellite,,Government Communications Satellite,Trustpower,Embedded,Backup generation,0,Diesel,0,Not Applicable,0,,,0,0 MW,0,,,0,,BLN0331,NEL - Nelson/Marlbourough,SI - South Island,,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Waihopai
Greenmount Landfill,,EnviroWaste,Mighty River Power,Embedded,Other,5.5,Biogas,0,Not Applicable,0,Feb 1992,1992,5.5,0.92 MW,38,6 x 0.92 MW,,0,,OTA0221,AKL - Auckland,NI - North Island,"Annual output of 38GWh has been estimated based on 80% utilisation. Meter data series GMT0221 MRPL EG, reconciliation manager series GMT0221 VECT EG. The landfill has closed to new refuse. Gas extraction may continue for 10-20 years after landfill closure.",,"PB 'Thermal & Geothermal Generation Capabilities',EMS (Reconciliation Manager List),www.entec.co.nz",,GEN.Thermal.Auckland.Greenmount
Hampton Downs Landfill,,EnviroWaste,Mighty River Power,Embedded,Other,4,Biogas,0,Not Applicable,0,2009,2009,4,1 MW,28,4 x 1 MW,,0,,MER0331,WTO - Waikato,NI - North Island,Annual output of 28GWh has been estimated based on 80% utilisation,," www.envirowaste.co.nz, ",,No current series
Hau Nui,,Genesis Energy,Genesis Energy,Embedded,Wind,8.45,Wind,0,Not Applicable,0,1996,1996,8.45,0.6 MW,22,15 x 0.6 MW,,0,,GYT0331,WEL - Wellington,NI - North Island,"Hau Nui wind farm is situated about 20 kilometres from the Martinborough township. Stage 1 commissioned in 1996 with 3.65 MW capacity, stage 2 commissioned in Dec 2004 with 4.8 MW The structures are designed to withstand wind speeds up to 240km/h. The 15 turbines operate in a wind speed range of 10 - 120 km/h above which they shut down. ",,"EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Wind.HauNui
Highbank,Rangitata Diversion Race,Trustpower,Trustpower,Partially Embedded,Hydro,25.2,Hydro,0,Not Applicable,0,1945,1945,25.2,25.2 MW,94,,,0,,ASB0661,CAN - Canterbury,SI - South Island,"The Highbank Power Station was constructed between 1939 and 1945 as part of a combined project to irrigate dry farmland and generate electricity.  Water for the station is collected from the Rangitata River by means of a 66km long irrigation race, which provides water for use by farms in summer, when demand for electricity is lower. In winter when electricity demand increases, and demand for irrigation water reduces, the water is used for power generation purposes. With an installed capacity of 25.2 MW, the Highbank scheme has an average annual output of 94 GWh. Highbank was previously grid connected (POC name : HBK0661 TRUS GG) but is now treated as embedded generation (POC name : HBK0661 TRUS EG behind ASB0661) for market purposes",," www.trustpower.co.nz,EL Database, Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Highbank
Hinemaiaia A,Hinemaiaia Hydro Scheme,Trustpower,Trustpower,Embedded,Hydro,2.4,Hydro,0,Not Applicable,0,1939,1939,2.4,2.4 MW,10,,,0,,WRK0331,WTO - Waikato,NI - North Island,"The Hinemaiaia scheme had it's beginnings in 1939 in the quest to develop an electric power supply for Taupo, with power eventually being generated in late 1952, and fed into the national grid in 1958. Fed by the Hinemaiaia River, the scheme today consists of 2,400kW HA, 1,350kW HB and 2,850kW HC stations giving a total annual output of 29.3GWh. The 33 hectare lake of the HA Station has an average depth of only 1.2m and contains 16.6 hours of storage at mean river flow. The river carries considerable pumice debris and the original lake was fully silted in it's first 25 years of existence. Levees have been built to form future silt ponds for the time when dredging of the lake area above the weir will become necessary to maintain storage. The HA lake is a wildlife sanctuary and has become the habitat of a wide variety of wild fowl. The lake in the past has been stocked with salvelinus fontinalis brook trout by the Wildlife Conservancy. The HA dam is comprised of an arch dam 12m deep in a narrow ignimbright gorge with an adjacent 90m long weir perched on the surface of the ignimbright rock with the intake structure situated on the left bank at the end of the weir. A remote controlled and hydraulically operated bypass gate has been placed in the dam which is capable of passing 5 cumecs when required. The intake chamber contains hydraulically operated bypass gates, intake screens and screen scraper mechanism. The screen scrapers cope with pumice debris and lake weed and the scraper operation is initiated by both pressure differential across the screen and time switch control. Two 243 metre long penstocks, one 1.67m in diameter and one 1.8m in diameter, lead from the intake chamber to the power station. The power station contains two horizontal shaft machines with Francis turbines",," www.trustpower.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Hinemaiaia
